title,imdb,releaseDate,lastWatched,watched,favorite,notes
Scorpio Rising,,1963,,NO,,
Scott Pilgrim vs. the World,,2010,,NO,,
Scream,,1996,,NO,,
Seconds,,1966,,NO,,
Secret Beyond the Door,,1947,,NO,,
Secrets & Lies,,1996,,NO,,
Senna,,2010,,NO,,
Sense and Sensibility,,1995,,NO,,
Senso,,1954,,NO,,
Serenity,,2005,,NO,,
Sergeant York,,1941,,NO,,
Serial Mom,,1994,,NO,,
Series 7: The Contenders,,2001,,NO,,
Serpico,,1973,,NO,,
Session 9,,2001,,NO,,
Seven Brides for Seven Brothers,,1954,,NO,,
Seven Chances,,1925,,NO,,
Sexy Beast,,2001,,NO,,
Shadow of a Doubt,,1943,,NO,,
Shadows,,1959,,NO,,
Shadows of Forgotten Ancestors,,1965,,NO,,
Shaft,,1971,,NO,,
Shakes the Clown,,1991,,NO,,
Shakespeare in Love,,1998,,NO,,
Shame,,1968,,NO,,
Shame,,2011,,NO,,
Shane,,1953,,NO,,
Shanghai Express,,1932,,NO,,
Shaun of the Dead,,2004,,NO,,
She Done Him Wrong,,1933,,NO,,
She's Gotta Have It,,1986,,NO,,
Sherlock Jr.,,1924,,NO,,
Sherman's March,,1985,,NO,,
Shine,,1996,,NO,,
Shoah,,1985,,NO,,
Shock Corridor,,1963,,NO,,
Shoot the Piano Player,,1960,,NO,,
Shoplifters,,2018,,NO,,
Short Cuts,,1993,,NO,,
Short Term 12,,2013,,NO,,
Show Me Love,,1998,,NO,,
Showdown in Little Tokyo,,1991,,NO,,
Showgirls,,1995,,NO,,
Sicario,,2015,,NO,,
Sideways,,2004,,NO,,
Signs & Wonders,,2001,,NO,,
Silver Lode,,1954,,NO,,
Sita Sings the Blues,,2008,,NO,,
Six-String Samurai,,1998,,NO,,
Skyfall,,2012,,NO,,
Slacker,,1991,,NO,,
Slap Shot,,1977,,NO,,
Sleeper,,1973,,NO,,
Sleeping Dogs,,1977,,NO,,
Sleuth,,1972,,NO,,
Slither,,2006,,NO,,
Smiles of a Summer Night,,1955,,NO,,
Smoke,,1995,,NO,,
Snow White and the Seven Dwarfs,,1937,,NO,,
Society,,1989,,NO,,
Solaris,,1972,,NO,,
Soldier of Orange,,1977,,NO,,
Sombre,,1998,,NO,,
Some Came Running,,1958,,NO,,
Some Like It Hot,,1959,,NO,,
Son of Saul,,2015,,NO,,
Song at Midnight,,1937,,NO,,
Songs from the Second Floor,,2000,,NO,,
Sons of the Desert,,1933,,NO,,
Sorry to Bother You,,2018,,NO,,
Soylent Green,,1973,,NO,,
Spectre,,2015,,NO,,
Spellbound,,1945,,NO,,
Spellbound,,2002,,NO,,
Spice World,,1997,,NO,,
Spider Baby,,1967,,NO,,
Splendor in the Grass,,1961,,NO,,
Spotlight,,2015,,NO,,
Spring Breakers,,2013,,NO,,
Spring in a Small Town,,1948,,NO,,
"Spring, Summer, Fall, Winter... and Spring",,2003,,NO,,
Stagecoach,,1939,,NO,,
Stalag 17,,1953,,NO,,
Stalker,,1979,,NO,,
Stand by Me,,1986,,NO,,
"Steamboat Bill, Jr.",,1928,,NO,,
Stella Dallas,,1937,,NO,,
Stephen King's It,,1990,,NO,,
Storm Over Asia,,1928,,NO,,
Story of Women,,1988,,NO,,
Straight Outta Compton,,2015,,NO,,
Stranger Than Paradise,,1984,,NO,,
Strangers on a Train,,1951,,NO,,
Straw Dogs,,1971,,NO,,
Streets of Fire,,1984,,NO,,
Strictly Ballroom,,1992,,NO,,
Strike,,1925,,NO,,
Stroszek,,1977,,NO,,
Stuck,,2007,,NO,,
Subarnarekha,,1965,,NO,,
Submarine,,2011,,NO,,
Sullivan's Travels,,1941,,NO,,
Summer with Monika,,1953,,NO,,
Sundown: The Vampire in Retreat,,1989,,NO,,
Sunrise: A Song of Two Humans,,1927,,NO,,
Sunset Boulevard,,1950,,NO,,
Super Fly,,1972,,NO,,
Superman,,1978,,NO,,
Superman II,,1980,,NO,,
Superman III,,1983,,NO,,
Superstar: The Karen Carpenter Story,,1988,,NO,,
Surfwise,,2007,,NO,,
Survival of the Dead,,2010,,NO,,
Suspiria,,1977,,NO,,
Suspiria,,1977,,NO,,
Sweet Smell of Success,,1957,,NO,,
Sweet Sweetback's Baadasssss Song,,1971,,NO,,
Swing Time,,1936,,NO,,
Swingers,,1996,,NO,,
Sympathy for Lady Vengeance,,2005,,NO,,
"Synecdoche, New York",,2008,,NO,,
Taare Zameen Par,,2007,,NO,,
Taboo,,1999,,NO,,
Tabu,,1931,,NO,,
Tae Guk Gi: The Brotherhood of War,,2004,,NO,,
Tales from Earthsea,,2006,,NO,,
Tales from the Darkside: The Movie,,1990,,NO,,
Talk to Her,,2002,,NO,,
Tampopo,,1985,,NO,,
Tangerine,,2015,,NO,,
Targets,,1968,,NO,,
Taste of Cherry,,1997,,NO,,
Tears of the Black Tiger,,2000,,NO,,
Tell No One,,2006,,NO,,
Tell Your Children,,1938,,NO,,
Terms of Endearment,,1983,,NO,,
Tetsuo: The Iron Man,,1989,,NO,,
Texas Killing Fields,,2011,,NO,,
ThanksKilling,,2008,,NO,,
That Obscure Object of Desire,,1977,,NO,,
The 36th Chamber of Shaolin,,1978,,NO,,
The 39 Steps,,1935,,NO,,
The 400 Blows,,1959,,NO,,
The 4th Man,,1983,,NO,,
The Abominable Dr. Phibes,,1971,,NO,,
The Abyss,,1989,,NO,,
The Accidental Tourist,,1988,,NO,,
The Act of Killing,,2012,,NO,,
The Addiction,,1995,,NO,,
The Adventures of Buckaroo Banzai Across the 8th Dimension,,1984,,NO,,
The Adventures of Prince Achmed,,1926,,NO,,
"The Adventures of Priscilla, Queen of the Desert",,1994,,NO,,
The Adventures of Robin Hood,,1938,,NO,,
The African Queen,,1952,,NO,,
The Age of Innocence,,1993,,NO,,
The American Friend,,1977,,NO,,
The American President,,1995,,NO,,
The Anthem of the Heart,,2015,,NO,,
The Apartment,,1960,,NO,,
The Artist,,2011,,NO,,
The Ascent,,1977,,NO,,
The Asphalt Jungle,,1950,,NO,,
The Assassination of Jesse James by the Coward Robert Ford,,2007,,NO,,
The Asthenic Syndrome,,1989,,NO,,
The Awful Truth,,1937,,NO,,
The Bad and the Beautiful,,1952,,NO,,
The Baker's Wife,,1938,,NO,,
The Ballad of Narayama,,1983,,NO,,
The Band Wagon,,1953,,NO,,
The Bank Dick,,1940,,NO,,
The Barbarian Invasions,,2003,,NO,,
The Barefoot Contessa,,1954,,NO,,
The Battle of Algiers,,1966,,NO,,
The Beastmaster,,1982,,NO,,
The Best of Youth,,2003,,NO,,
The Best Years of Our Lives,,1946,,NO,,
The Big Chill,,1983,,NO,,
The Big Heat,,1953,,NO,,
The Big Parade,,1925,,NO,,
The Big Red One,,1980,,NO,,
The Big Short,,2015,,NO,,
The Big Sky,,1952,,NO,,
The Big Sleep,,1946,,NO,,
The Bigamist,,1953,,NO,,
The Bird with the Crystal Plumage,,1970,,NO,,
The Birds,,1963,,NO,,
The Birth of a Nation,,1915,,NO,,
The Bitter Tea of General Yen,,1933,,NO,,
The Bitter Tears of Petra von Kant,,1972,,NO,,
The Black Cat,,1934,,NO,,
The Black Hole,,1979,,NO,,
The Blue Angel,,1930,,NO,,
The Blue Kite,,1993,,NO,,
The Boondock Saints II: All Saints Day,,2009,,NO,,
The Bride of Frankenstein,,1935,,NO,,
The Bridge on the River Kwai,,1957,,NO,,
The Bridges of Madison County,,1995,,NO,,
The Brother from Another Planet,,1984,,NO,,
The Burmese Harp,,1956,,NO,,
The Butcher,,1970,,NO,,
The Butcher Boy,,1998,,NO,,
The Cabin in the Woods,,2012,,NO,,
The Cabinet of Dr. Caligari,,1920,,NO,,
The Cameraman,,1928,,NO,,
The Captive,,2000,,NO,,
The Celebration,,1998,,NO,,
The Chant of Jimmie Blacksmith,,1978,,NO,,
The Chaser,,2008,,NO,,
The Circus,,1928,,NO,,
The City of Lost Children,,1995,,NO,,
The Class,,2008,,NO,,
The Cloud-Capped Star,,1960,,NO,,
The Color of Pomegranates,,1969,,NO,,
The Color Purple,,1985,,NO,,
The Conformist,,1970,,NO,,
The Consequences of Love,,2004,,NO,,
The Constant Gardener,,2005,,NO,,
The Conversation,,1974,,NO,,
"The Cook, the Thief, His Wife & Her Lover",,1989,,NO,,
The Cool World,,1963,,NO,,
The Counterfeiters,,2007,,NO,,
The Cow,,1969,,NO,,
The Craft,,1996,,NO,,
The Cranes Are Flying,,1957,,NO,,
The Crazies,,1973,,NO,,
The Crazies,,2010,,NO,,
The Crowd,,1928,,NO,,
The Crying Game,,1992,,NO,,
The Damned United,,2009,,NO,,
The Dark Half,,1993,,NO,,
The Dark Knight,,2008,,NO,,
The Day of the Jackal,,1973,,NO,,
The Day the Earth Stood Still,,1951,,NO,,
The Dead,,1987,,NO,,
The Decline of the American Empire,,1986,,NO,,
The Decline of Western Civilization Part II: The Metal Years,,1988,,NO,,
The Defiant Ones,,1958,,NO,,
The Descendants,,2011,,NO,,
The Descent,,2005,,NO,,
The Devil's Backbone,,2001,,NO,,
The Devils,,1971,,NO,,
The Dirty Dozen,,1967,,NO,,
The Disappearance of Haruhi Suzumiya,,2010,,NO,,
The Discreet Charm of the Bourgeoisie,,1972,,NO,,
The Diving Bell and the Butterfly,,2007,,NO,,
The Docks of New York,,1928,,NO,,
The Double Life of Véronique,,1991,,NO,,
The Draughtsman's Contract,,1983,,NO,,
The Driller Killer,,1979,,NO,,
The Eagle,,1925,,NO,,
The Ear,,1990,,NO,,
The Earrings of Madame de...,,1953,,NO,,
The Empire Strikes Back,,1980,,NO,,
The English Patient,,1996,,NO,,
The Enigma of Kaspar Hauser,,1974,,NO,,
The Evil Dead,,1981,,NO,,
The Exiles,,1961,,NO,,
The Exorcist,,1973,,NO,,
The Exterminating Angel,,1962,,NO,,
The Fall,,2006,,NO,,
The Fighter,,2010,,NO,,
The Firemen's Ball,,1967,,NO,,
The Fisher King,,1991,,NO,,
The Five Venoms,,1978,,NO,,
The French Connection,,1971,,NO,,
The Game,,1997,,NO,,
The Garden of the Finzi-Continis,,1970,,NO,,
The Garden of Words,,2013,,NO,,
The Gate,,1987,,NO,,
The General,,1926,,NO,,
The Ghost and Mrs. Muir,,1947,,NO,,
The Giant Spider Invasion,,1975,,NO,,
The Girl with the Dragon Tattoo,,2009,,NO,,
The Given Word,,1962,,NO,,
The Gleaners and I,,2000,,NO,,
The Goddess,,1934,,NO,,
The Gods Must Be Crazy,,1980,,NO,,
The Gold Rush,,1925,,NO,,
The Golden Coach,,1952,,NO,,
"The Good, the Bad, the Weird",,2008,,NO,,
The Gospel According to Matthew,,1965,,NO,,
The Graduate,,1967,,NO,,
The Grand Budapest Hotel,,2014,,NO,,
The Grapes of Wrath,,1940,,NO,,
The Great Beauty,,2013,,NO,,
The Great Dictator,,1940,,NO,,
The Great Escape,,1963,,NO,,
The Great Train Robbery,,1903,,NO,,
The Great White Silence,,1924,,NO,,
The Guns of Navarone,,1961,,NO,,
The Handmaiden,,2016,,NO,,
The Harder They Come,,1972,,NO,,
The Haunting,,1963,,NO,,
The Heartbreak Kid,,1972,,NO,,
The Heiress,,1949,,NO,,
The Help,,2011,,NO,,
The Hidden,,1987,,NO,,
The Hidden Fortress,,1958,,NO,,
The Hills Have Eyes,,1977,,NO,,
The Hills Have Eyes,,2006,,NO,,
The Hired Hand,,1971,,NO,,
The Holy Mountain,,1973,,NO,,
The Honeymoon Killers,,1970,,NO,,
The Horse Thief,,1986,,NO,,
The Host,,2006,,NO,,
The Hours,,2002,,NO,,
The House Is Black,,1963,,NO,,
The House of the Devil,,2009,,NO,,
The Housemaid,,1960,,NO,,
The Human Centipede (First Sequence),,2009,,NO,,
The Hunger,,1983,,NO,,
The Hunt for Red October,,1990,,NO,,
The Hurt Locker,,2008,,NO,,
The Hustler,,1961,,NO,,
The Ice Storm,,1997,,NO,,
The Idiots,,1998,,NO,,
The Illusionist,,2006,,NO,,
The Incredible Shrinking Man,,1957,,NO,,
The Innocents,,1961,,NO,,
The Insider,,1999,,NO,,
The Intouchables,,2011,,NO,,
The Jazz Singer,,1927,,NO,,
The Jerk,,1979,,NO,,
The Jungle Book,,2016,,NO,,
The Kid,,1921,,NO,,
The Kid Brother,,1927,,NO,,
The Kid with a Bike,,2011,,NO,,
The Killer,,1989,,NO,,
The Killers,,1946,,NO,,
The Killing,,1956,,NO,,
The Killing Fields,,1984,,NO,,
The Killing of a Chinese Bookie,,1976,,NO,,
The King of Comedy,,1982,,NO,,
The King's Speech,,2010,,NO,,
The Kingdom,,1994,,NO,,
The Ladies Man,,1961,,NO,,
The Lady Eve,,1941,,NO,,
The Lady from Shanghai,,1947,,NO,,
The Lady Vanishes,,1938,,NO,,
The Ladykillers,,1955,,NO,,
The Last Battle,,1983,,NO,,
The Last Emperor,,1987,,NO,,
The Last King of Scotland,,2006,,NO,,
The Last Laugh,,1924,,NO,,
The Last Metro,,1980,,NO,,
The Last of the Mohicans,,1992,,NO,,
The Last Picture Show,,1971,,NO,,
The Last Seduction,,1994,,NO,,
The Last Temptation of Christ,,1988,,NO,,
The Last Wave,,1977,,NO,,
The Lavender Hill Mob,,1951,,NO,,
The Legend of Billie Jean,,1985,,NO,,
The Leopard,,1963,,NO,,
The Life and Death of Colonel Blimp,,1943,,NO,,
The Life Aquatic with Steve Zissou,,2004,,NO,,
The Life of Emile Zola,,1937,,NO,,
The Lift,,1983,,NO,,
The Lives of Others,,2006,,NO,,
The Living Daylights,,1987,,NO,,
The Lobster,,2015,,NO,,
The Long Goodbye,,1973,,NO,,
The Longest Day,,1962,,NO,,
The Look of Silence,,2014,,NO,,
The Lost Boys,,1987,,NO,,
The Lost Weekend,,1945,,NO,,
The Lovers on the Bridge,,1991,,NO,,
The Machinist,,2004,,NO,,
The Mack,,1973,,NO,,
The Mad Masters,,1955,,NO,,
The Magnificent Ambersons,,1942,,NO,,
The Magnificent Seven,,1960,,NO,,
The Maltese Falcon,,1941,,NO,,
The Man From Laramie,,1955,,NO,,
The Man from Nowhere,,2010,,NO,,
The Man in Grey,,1943,,NO,,
The Man Who Fell to Earth,,1976,,NO,,
The Man Who Had His Hair Cut Short,,1966,,NO,,
The Man Who Knew Too Much,,1956,,NO,,
The Man Who Shot Liberty Valance,,1962,,NO,,
The Man Who Wasn't There,,2001,,NO,,
The Man Who Would Be King,,1975,,NO,,
The Man with the Golden Arm,,1955,,NO,,
The Man with the Golden Gun,,1974,,NO,,
The Manchurian Candidate,,1962,,NO,,
The Marriage of Maria Braun,,1979,,NO,,
The Masque of the Red Death,,1964,,NO,,
The Meaning of Life,,1983,,NO,,
The Message,,1976,,NO,,
The Monster Squad,,1987,,NO,,
The Mortal Storm,,1940,,NO,,
The Mother and the Whore,,1973,,NO,,
The Motorcycle Diaries,,2004,,NO,,
The Mummy,,2017,,NO,,
The Muppet Movie,,1979,,NO,,
The Music Room,,1958,,NO,,
The Naked Spur,,1953,,NO,,
The Natural,,1984,,NO,,
The New World,,2005,,NO,,
The Night of the Hunter,,1955,,NO,,
The Night of the Shooting Stars,,1982,,NO,,
The Nutty Professor,,1963,,NO,,
The Official Story,,1985,,NO,,
The Others,,2001,,NO,,
The Outlaw Josey Wales,,1976,,NO,,
The Ox-Bow Incident,,1943,,NO,,
The Pagemaster,,1994,,NO,,
The Paleface,,1948,,NO,,
The Palm Beach Story,,1942,,NO,,
The Party,,1968,,NO,,
The Passion of Joan of Arc,,1928,,NO,,
The Past,,2013,,NO,,
The People Under the Stairs,,1991,,NO,,
The Perks of Being a Wallflower,,2012,,NO,,
The Phantom Carriage,,1921,,NO,,
The Phantom of the Opera,,1925,,NO,,
The Phenix City Story,,1955,,NO,,
The Philadelphia Story,,1940,,NO,,
The Piano,,1993,,NO,,
The Piano Teacher,,2001,,NO,,
The Pillow Book,,1996,,NO,,
The Pink Panther,,1963,,NO,,
The Player,,1992,,NO,,
The Post,,2017,,NO,,
The Postman Always Rings Twice,,1946,,NO,,
The Prestige,,2006,,NO,,
The Princess and the Pilot,,2011,,NO,,
The Producers,,1967,,NO,,
The Proposition,,2005,,NO,,
The Public Enemy,,1931,,NO,,
The Punch Bowl,,1944,,NO,,
The Puppetmaster,,1993,,NO,,
The Purple Rose of Cairo,,1985,,NO,,
The Queen,,2006,,NO,,
The Quiet Earth,,1985,,NO,,
The Quiet Man,,1952,,NO,,
The Raid 2,,2014,,NO,,
The Rapture,,1991,,NO,,
The Reckless Moment,,1949,,NO,,
The Red and the White,,1967,,NO,,
The Red Shoes,,1948,,NO,,
The Remains of the Day,,1993,,NO,,
The Return,,2003,,NO,,
The Revenant,,2015,,NO,,
The Right Stuff,,1983,,NO,,
The Rocky Horror Picture Show,,1975,,NO,,
The Royal Tenenbaums,,2001,,NO,,
The Rules of Attraction,,2002,,NO,,
The Rules of the Game,,1939,,NO,,
The Saragossa Manuscript,,1965,,NO,,
The Sea Inside,,2004,,NO,,
The Searchers,,1956,,NO,,
The Secret in Their Eyes,,2009,,NO,,
The Servant,,1963,,NO,,
The Seventh Seal,,1957,,NO,,
The Seventh Victim,,1943,,NO,,
The Shape of Water,,2017,,NO,,
The Shooting,,1966,,NO,,
The Shop Around the Corner,,1940,,NO,,
The Shop on Main Street,,1965,,NO,,
The Silence,,1963,,NO,,
The Skin I Live In,,2011,,NO,,
The Smiling Madame Beudet,,1923,,NO,,
The Snake Pit,,1948,,NO,,
The Son's Room,,2001,,NO,,
The Sorrow and the Pity,,1969,,NO,,
The Sound of Music,,1965,,NO,,
The Spectacular Now,,2013,,NO,,
The Spider's Stratagem,,1970,,NO,,
The Spirit of the Beehive,,1973,,NO,,
The Spy Who Loved Me,,1977,,NO,,
The Squid and the Whale,,2005,,NO,,
The Station Agent,,2003,,NO,,
The Stepfather,,1987,,NO,,
The Sting,,1973,,NO,,
The Story of a Cheat,,1936,,NO,,
The Story of the Last Chrysanthemum,,1939,,NO,,
The Straight Story,,1999,,NO,,
The Stranger,,1946,,NO,,
The Stuff,,1985,,NO,,
The Sweet Hereafter,,1997,,NO,,
The Taking of Pelham One Two Three,,1974,,NO,,
The Tall Man,,2012,,NO,,
The Ten Commandments,,1956,,NO,,
The Tenant,,1976,,NO,,
The Texas Chain Saw Massacre,,1974,,NO,,
The Theory of Everything,,2014,,NO,,
The Thief of Bagdad,,1924,,NO,,
The Thin Blue Line,,1988,,NO,,
The Thin Man,,1934,,NO,,
The Thin Red Line,,1998,,NO,,
The Thing,,2011,,NO,,
The Third Man,,1949,,NO,,
The Time to Live and the Time to Die,,1985,,NO,,
The Tin Drum,,1979,,NO,,
The Tingler,,1959,,NO,,
The Towering Inferno,,1974,,NO,,
The Town,,2010,,NO,,
The Toxic Avenger,,1984,,NO,,
The Travelling Players,,1975,,NO,,
The Tree of Life,,2011,,NO,,
The Tree of Wooden Clogs,,1978,,NO,,
The Twilight Samurai,,2002,,NO,,
The Umbrellas of Cherbourg,,1964,,NO,,
The Unbelievable Truth,,1989,,NO,,
The Unknown,,1927,,NO,,
The Untouchables,,1987,,NO,,
The Vampire Lovers,,1970,,NO,,
The Vanishing,,1988,,NO,,
The Verdict,,1982,,NO,,
The Virgin Spring,,1960,,NO,,
The Visitor,,2007,,NO,,
The Wages of Fear,,1953,,NO,,
The Wanderers,,1979,,NO,,
The War Game,,1966,,NO,,
The Warriors,,1979,,NO,,
The Way of the Gun,,2000,,NO,,
The Way We Were,,1973,,NO,,
The Wedding Banquet,,1993,,NO,,
The White Balloon,,1995,,NO,,
The White Ribbon,,2009,,NO,,
The Wicker Man,,1973,,NO,,
The Wicker Man,,2006,,NO,,
The Wild Bunch,,1969,,NO,,
The Wind That Shakes the Barley,,2006,,NO,,
The Wind Will Carry Us,,1999,,NO,,
The Wiz,,1978,,NO,,
The Wolf Man,,1941,,NO,,
The Wolfman,,2010,,NO,,
The World Is Not Enough,,1999,,NO,,
The World of Apu,,1959,,NO,,
The World's Fastest Indian,,2005,,NO,,
The Wrestler,,2008,,NO,,
The Wrong Man,,1956,,NO,,
The Young and the Damned,,1950,,NO,,
The Young Girls of Rochefort,,1967,,NO,,
The Young One,,1960,,NO,,
Thelma & Louise,,1991,,NO,,
There's Something About Mary,,1998,,NO,,
Things,,1989,,NO,,
Things to Come,,1936,,NO,,
Thirty Two Short Films About Glenn Gould,,1993,,NO,,
This Is England,,2006,,NO,,
Three Brothers,,1981,,NO,,
Three Colors: Blue,,1993,,NO,,
Three Colors: Red,,1994,,NO,,
Three Colors: White,,1994,,NO,,
Three Kings,,1999,,NO,,
Three Lives and Only One Death,,1996,,NO,,
Thriller: A Cruel Picture,,1973,,NO,,
Through a Glass Darkly,,1961,,NO,,
Through the Olive Trees,,1994,,NO,,
Thunderball,,1965,,NO,,
THX 1138,,1971,,NO,,
Time of Eve: The Movie,,2010,,NO,,
Time Regained,,1999,,NO,,
Tinker Tailor Soldier Spy,,2011,,NO,,
To Be or Not to Be,,1942,,NO,,
To Catch a Thief,,1955,,NO,,
To Have and Have Not,,1945,,NO,,
Tokyo Godfathers,,2003,,NO,,
Tokyo Olympiad,,1965,,NO,,
Tokyo Story,,1953,,NO,,
Tombstone,,1993,,NO,,
Tommy Boy,,1995,,NO,,
Tomorrow Never Dies,,1997,,NO,,
Tongues Untied,,1990,,NO,,
Toni Erdmann,,2016,,NO,,
Too Early/Too Late,,1982,,NO,,
Tootsie,,1982,,NO,,
Top Hat,,1935,,NO,,
Touch of Evil,,1958,,NO,,
Toys,,1992,,NO,,
Traffic,,2000,,NO,,
Trancers,,1984,,NO,,
Trick 'r Treat,,2007,,NO,,
Trigun: Badlands Rumble,,2010,,NO,,
Tristana,,1970,,NO,,
Triumph of the Will,,1935,,NO,,
Troll 2,,1990,,NO,,
Tron,,1982,,NO,,
Trouble in Paradise,,1932,,NO,,
True Grit,,2010,,NO,,
Trust,,1990,,NO,,
Tsotsi,,2005,,NO,,
Tucker and Dale vs. Evil,,2010,,NO,,
Turkish Delight,,1973,,NO,,
Twin Peaks: Fire Walk with Me,,1992,,NO,,
Twins,,1988,,NO,,
"Two Days, One Night",,2014,,NO,,
Two Evil Eyes,,1990,,NO,,
Two for the Road,,1967,,NO,,
Two-Lane Blacktop,,1971,,NO,,
Ugetsu,,1953,,NO,,
UHF,,1989,,NO,,
Umberto D.,,1952,,NO,,
Un Chien Andalou,,1929,,NO,,
Under the Shadow,,2016,,NO,,
Under the Skin,,2014,,NO,,
Underground,,1995,,NO,,
United 93,,2006,,NO,,
Universal Soldier,,1992,,NO,,
Up in Smoke,,1978,,NO,,
Up in the Air,,2009,,NO,,
Used Cars,,1980,,NO,,
Utu,,1983,,NO,,
Vagabond,,1985,,NO,,
Valley of the Dolls,,1967,,NO,,
Vampyr,,1932,,NO,,
Vanishing Point,,1971,,NO,,
Veer-Zaara,,2004,,NO,,
Velvet Goldmine,,1998,,NO,,
Versus,,2000,,NO,,
Vice,,2018,,NO,,
Victoria,,2015,,NO,,
Videodrome,,1983,,NO,,
Vinyl,,1965,,NO,,
Viridiana,,1961,,NO,,
Vivre Sa Vie,,1962,,NO,,
Viy,,1967,,NO,,
Volver,,2006,,NO,,
Wadjda,,2012,,NO,,
Wake in Fright,,1971,,NO,,
Waking Life,,2001,,NO,,
Walk the Line,,2005,,NO,,
Walkabout,,1971,,NO,,
Walking and Talking,,1996,,NO,,
Wallace & Gromit: The Curse of the Were-Rabbit,,2005,,NO,,
Waltz with Bashir,,2008,,NO,,
Wanda,,1971,,NO,,
War Horse,,2011,,NO,,
Warrior,,2011,,NO,,
Way Down East,,1920,,NO,,
Weekend,,1967,,NO,,
Welcome to the Dollhouse,,1996,,NO,,
Werckmeister Harmonies,,2000,,NO,,
West Side Story,,1961,,NO,,
Wet Hot American Summer,,2001,,NO,,
What Ever Happened to Baby Jane?,,1962,,NO,,
What Time Is It There?,,2001,,NO,,
What's Eating Gilbert Grape,,1993,,NO,,
"What's Up,  Doc?",,1972,,NO,,
When Harry Met Sally...,,1989,,NO,,
When Marnie Was There,,2014,,NO,,
Where Eagles Dare,,1968,,NO,,
Whisky Galore!,,1949,,NO,,
White Heat,,1949,,NO,,
Who's Afraid of Virginia Woolf?,,1966,,NO,,
Wild Reeds,,1994,,NO,,
Wild Strawberries,,1957,,NO,,
Wild Tales,,2014,,NO,,
Willard,,2003,,NO,,
Willow,,1988,,NO,,
Winchester '73,,1950,,NO,,
Wings of Desire,,1987,,NO,,
Winter Light,,1963,,NO,,
Winter Sleep,,2014,,NO,,
Winter's Bone,,2010,,NO,,
Within Our Gates,,1920,,NO,,
Withnail & I,,1987,,NO,,
Witness,,1985,,NO,,
Witness for the Prosecution,,1957,,NO,,
Wizards,,1977,,NO,,
Woman in the Dunes,,1964,,NO,,
Women on the Verge of a Nervous Breakdown,,1988,,NO,,
Woodstock,,1970,,NO,,
World of Tomorrow,,2015,,NO,,
WR: Mysteries of the Organism,,1971,,NO,,
Wristcutters: A Love Story,,2006,,NO,,
Written on the Wind,,1956,,NO,,
Wuthering Heights,,1939,,NO,,
Xanadu,,1980,,NO,,
Y Tu Mamá También,,2001,,NO,,
Yankee Doodle Dandy,,1942,,NO,,
Yeelen,,1987,,NO,,
Yi Yi,,2000,,NO,,
Yojimbo,,1961,,NO,,
Yol,,1982,,NO,,
You Can Count on Me,,2000,,NO,,
You Only Live Twice,,1967,,NO,,
Young Frankenstein,,1974,,NO,,
Z,,1969,,NO,,
Zaat,,1971,,NO,,
Zabriskie Point,,1970,,NO,,
Zardoz,,1974,,NO,,
Zatoichi,,1989,,NO,,
Zelig,,1983,,NO,,
Zero Dark Thirty,,2012,,NO,,
Zero Effect,,1998,,NO,,
Zero for Conduct,,1933,,NO,,
Zero Kelvin,,1995,,NO,,
Zoolander,,2001,,NO,,
Zulu,,1964,,NO,,
