Title,Author,ISBN#,ISBN13,Date Started,Date Finished,Read?,Favorite?,
A Child’s Garden of Verses,Robert Louis Stevenson,,,,,,,
A Classical Education,Richard Cobb,,,,,,,
A Clockwork Orange,Anthony Burgess,,,,,,,
A Coffin for Dimitrios,Eric Ambler,,,,,,,
A Coffin for King Charles,C. V. Wedgwood,,,,,,,
A Confederacy of Dunces,John Kennedy Toole,,,,,,,
A Dictionary of Modern English Usage,H. W. Fowler,,,,,,,
A Dresser of Sycamore Trees,Garret Keizer,,,,,,,
A Drinking Life,Pete Hamill,,,,,,,
A False Spring,Pat Jordan,,,,,,,
A Fan’s Notes,Frederick Exley,,,,,,,
A Farewell to Arms,Ernest Hemingway,,,,,,,
A Fine Balance,Rohinton Mistry,,,,,,,
A Fortunate Man,John Berger,,,,,,,
A Genius in the Family,Hiram Percy Maxim,,,,,,,
A Glastonbury Romance,John Cowper Powys,,,,,,,
A Grief Observed,C. S. Lewis,,,,,,,
A High Wind in Jamaica,Richard Hughes,,,,,,,
A Hole Is to Dig,Ruth Krauss,,,,,,,
A House for Mr. Biswas,V. S. Naipaul,,,,,,,
A Johnson Reader,Samuel Johnson,,,,,,,
A Judgement in Stone,Ruth Rendell,,,,,,,
A Lesson Before Dying,Ernest J. Gaines,,,,,,,
A Life on Our Planet,David Attenborough,,,,,,,
A Little Princess,Frances Hodgson Burnett,,,,,,,
A Mass for the Dead,William Gibson,,,,,,,
A Mencken Chrestomathy,H. L. Mencken,,,,,,,
A Midsummer Night’s Dream,William Shakespeare,,,,,,,
A Moment’s Liberty,Virginia Woolf,,,,,,,
A Month in the Country,J. L. Carr,,,,,,,
A Palpable God,Reynolds Price,,,,,,,
A Part of Myself,Carl Zuckmayer,,,,,,,
A Passage to India,E. M. Forster,,,,,,,
A Perfect Union of Contrary Things,Maynard James Keenan,,,,,,,
A Personal Matter,Kenzaburō Ōe,,,,,,,
A Personal Record,Joseph Conrad,,,,,,,
A Place of Greater Safety,Hilary Mantel,,,,,,,
A Portrait of the Artist as a Young Man,James Joyce,,,,,,,
A Promised Land,Barack Obama,,,,,,,
A Rage in Harlem,Chester Himes,,,,,,,
A Reader’s Delight,Noel Perrin,,,,,,,
A Romantic Education,Patricia Hampl,,,,,,,
A Scanner Darkly,Philip K. Dick,,,,,,,
A Short Walk in the Hindu Kush,Eric Newby,,,,,,,
A Simple Plan,Scott Smith,,,,,,,
A Sorrow Beyond Dreams,Peter Handke,,,,,,,
A Streetcar Named Desire,Tennessee Williams,,,,,,,
A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,,,,,,,
A Tale of Two Cities,Charles Dickens,,,,,,,
A Taste for Death,P. D. James,,,,,,,
A Time of Gifts,Patrick Leigh Fermor,,,,,,,
A Tree Grows in Brooklyn,Betty Smith,,,,,,,
A Visit from the Goon Squad,Jennifer Egan  ,,,,,,,
A Walk in the Woods,Bill Bryson,,,,,,,
A Wizard of Earthsea,Ursula K. Le Guin,,,,,,,
"A Woman, a Man, and Two Kingdoms",Francis Steegmuller,,,,,,,
A Wrinkle in Time,Madeleine L’Engle,,,,,,,
A Year in Provence,Peter Mayle,,,,,,,
Abel’s Island,William Steig,,,,,,,
Abraham Lincoln,Abraham Lincoln,,,,,,,
"Absalom, Absalom!",William Faulkner,,,,,,,
Accounting Terms - Financial Education Is Your Best Investment,Thomas Herold,,,,,,,
Act One,Moss Hart,,,,,,,
"Ada, or Ardor",Vladimir Nabokov,,,,,,,
Adam’s Task,Vicki Hearne,,,,,,,
Adventures on the Wine Route,Kermit Lynch,,,,,,,
After Babel,George Steiner,,,,,,,
Against Nature (À Rebours),Joris-Karl Huysmans,,,,,,,
Ages,Johan Huizinga,,,,,,,
Aké,Wole Soyinka,,,,,,,
Akenfield,Ronald Blythe,,,,,,,
Alan Cumming,Alan Cumming,,,,,,,
Alan Turing,Andrew Hodges,,,,,,,
Alcestis,Euripides,,,,,,,
Alexander Hamilton,Ron Chernow,,,,,,,
Algorithms to Live By,Brian Christian,,,,,,,
Alice James,Jean Strouse,,,,,,,
Alice’s Adventures in Wonderland,Lewis Carroll,,,,,,,
All Creatures Great and Small,James Herriot,,,,,,,
All Passion Spent,Vita Sackville-West,,,,,,,
All the King’s Men,Robert Penn Warren,,,,,,,
All the President’s Men,Carl Bernstein and Bob Woodward,,,,,,,
American Pastoral,Philip Roth,,,,,,,
American Prometheus,Kai Bird and Martin J. Sherwin,,,,,,,
Among Others,Jo Walton,,,,,,,
An Age Like This,George Orwell,,,,,,,
An Infamous Army,Georgette Heyer,,,,,,,
Andersonville,MacKinlay Kantor,,,,,,,
Angela’s Ashes,Frank McCourt,,,,,,,
Angels in America,Tony Kushner,,,,,,,
Angle of Repose,Wallace Stegner,,,,,,,
Anna Karenina,Leo Tolstoy,,,,,,,
Anne of Green Gables,L. M. Montgomery,,,,,,,
Another Self,James Lees-Milne,,,,,,,
Antifragile,Nicholas Taleb,,,,,,,
Antigone,Sophocles,,,,,,,
Anybody Can Do Anything,Betty MacDonald,,,,,,,
April 1865,Jay Winik,,,,,,,
Arabian Sands,Wilfred Thesiger,,,,,,,
Arctic Dreams,Barry Lopez,,,,,,,
Are You Somebody?,Nuala O’Faolain,,,,,,,
Are You There God? It’s Me Margaret.,Judy Blume,,,,,,,
Arnold Schwarzenegger,Louise Krasniewicz,,,,,,,
Art and Fear,David Bayles,,,,,,,
Art Money & Success,Maria Brophy,,,,,,,
Art of Deception,Kevin Mitnick,,,,,,,
Art of Intrusion,Kevin Mitnick,,,,,,,
Art of Invisibility,Kevin Mitnick,,,,,,,
ART/WORK,Heather Darcy Bhandari,,,,,,,
Artful,Ali Smith,,,,,,,
Arthaśāstra,Kautilya,,,,,,,
Artist’s Way,Julia Cameron,,,,,,,
As I Lay Dying,William Faulkner,,,,,,,
As I Please,George Orwell,,,,,,,
At Canaan’s Edge,Taylor Branch,,,,,,,
At Swim-Two-Birds,Flann O’Brien,,,,,,,
Atomic Habits,James Clear,,,,,,,
Aubrey’s Brief Lives,John Aubrey,,,,,,,
Autobiography of a Face,Lucy Grealy,,,,,,,
Autobiography of a Yogi,Paramahansa Yogananda,,,,,,,
Autobiography of John Stuart Mill,John Stuart Mill,,,,,,,
Balthazar,Lawrence Durrell,,,,,,,
Bansenshūkai,Yasutake Fujibayashi,,,,,,,
Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,,,,,,,
Be a Free Range Human,Marianne Cantwell,,,,,,,
"Be Water, My Friend",Shannon Lee,,,,,,,
Beautiful Swimmers,William W. Warner,,,,,,,
Beloved,Toni Morrison,,,,,,,
Benjamin Franklin,Walter Isaacson,074325807X,,05/16/22,,,,
Beowulf,,,,,,,,
Bequest of Wings,Annis Duff,,,,,,,
Berlin Diary,William L. Shirer,,,,,,,
"Bernard Shaw: Collected Letters, 1874–1950",George Bernard Shaw,,,,,,,
Betsy-Tacy,Maud Hart Lovelace,,,,,,,
Between Meals,A. J. Liebling,,,,,,,
Between the World and Me,Ta-Nehisi Coates,,,,,,,
Beyond a Boundary,C. L. R. James,,,,,,,
Beyond Good and Evil,Friedrich Nietzsche,,,,,,,
Bhagavad Gita,,,,,,,,
Black Lamb and Grey Falcon,Rebecca West,,,,,,,
Black Spring,Henry Miller,,,,,,,
Bleak House,Charles Dickens,,,,,,,
Blindness,José Saramago,,,,,,,
"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,,,,,,,
Blue Highways,William Least Heat-Moon,,,,,,,
Bluffer’s Guide to Etiquette,William Hanson,,,,,,,
Bluffer’s Guide to Management,Jonathan Courtis,,,,,,,
Bluffer’s Guide to Public Relations,Keith Hanm,,,,,,,
Boggs,Lawrence Weschler,,,,,,,
Book Lust,Nancy Pearl,,,,,,,
Book of Ages,Jill Lepore,,,,,,,
Bound to Please,Michael Dirda,,,,,,,
Brave New World,Aldous Huxley,,,,,,,
Brazilian Adventure,Peter Fleming,,,,,,,
Bread and Wine,Ignazio Silone,,,,,,,
Breath,James Nestor,,,,,,,
"Bright Air,  Brilliant Fire",Gerald M. Edelman,,,,,,,
Building a Story Brand,Donald Miller,,,,,,,
Built to Sell,John Warrillow,,,,,,,
Bulfinch’s Mythology,Thomas Bulfinch,,,,,,,
Burr,Gore Vidal,,,,,,,
Bury My Heart at Wounded Knee,Dee Brown,,,,,,,
Call It Sleep,Henry Roth,,,,,,,
Can I Wear My Nose Ring to the Interview?,Ellen Gordon Reeves,,,,,,,
Can’t We Talk About Something More Pleasant?,Roz Chast,,,,,,,
Candide,Voltaire,,,,,,,
"Candide, or Optimism",Voltaire,,,,,,,
Captain Blood,Rafael Sabatini,,,,,,,
Carrie,Stephen King,,,,,,,
Carrying the Fire,Michael Collins,,,,,,,
Case Interview Secrets,Victor Cheng,,,,,,,
Cat’s Eye,Margaret Atwood,,,,,,,
Catalyst: A Rogue One Novel,James Luceno,,,,,,,
Catch Me if You Can,Frank W. Abagnale,,,,,,,
Catch-22,Joseph Heller,,,,,,,
Célestine,Gillian Tindall,,,,,,,
Centuries of Meditations,Thomas Traherne,,,,,,,
Challenger Sale,Matthew Dixon,,,,,,,
Charlotte’s Web,E. B. White,,,,,,,
Chasing the Scream,Johann Hari,,,,,,,
Childhood’s End,Arthur C. Clarke,,,,,,,
Christ Stopped at Eboli,Carlo Levi,,,,,,,
Cider with Rosie,Laurie Lee,,,,,,,
Citizen,Claudia Rankine,,,,,,,
City,Clifford D. Simak,,,,,,,
Classic Crimes,W. N. Roughead,,,,,,,
Clea,Lawrence Durrell,,,,,,,
Clear Light of Day,Anita Desai,,,,,,,
Clémentine in the Kitchen,Samuel Chamberlain,,,,,,,
Clockers,Richard Price,,,,,,,
Code of the Samurai,Taira Shigesuke,,,,,,,
Coders,Clive Thompson,,,,,,,
Cold Comfort Farm,Stella Gibbons,,,,,,,
Collected Albert Camus Poems 1943–2004,Richard Wilbur,,,,,,,
Collected Dialogues,Plato,,,,,,,
Collected Essays,James Baldwin,,,,,,,
Collected Fictions,Jorge Luis Borges,,,,,,,
Collected Stories,Frank O’Connor,,,,,,,
Coming of Age in the Milky Way,Timothy Ferris,,,,,,,
Command and Control,Eric Schlosser,,,,,,,
Commentaries on the Gallic War,Julius Caesar,,,,,,,
Communication Skills Training,James W. Williams,,,,,,,
Company,Samuel Beckett,,,,,,,
Company of One,Paul Jarvis,,,,,,,
Complete Photography,Chris Gatcum,,,,,,,
Complete Poems 1904–1962,E. E. Cummings,,,,,,,
Complete Stories,Clarice Lispector,,,,,,,
Confessions,Saint Augustine,,,,,,,
Confessions of a Philosopher,Bryan Magee,,,,,,,
Consulting Bible,Alan Weiss,,,,,,,
Conversations with Glenn Gould,Jonathan Cott,,,,,,,
Convince Them in 90 Seconds or Less,Nicholas Boothman,,,,,,,
"Corinne, or Italy",Madame de Staël,,,,,,,
Corporate Finance,Greg Shields,,,,,,,
Couple Skills,Steve Keller,,,,,,,
Cranford,Elizabeth Gaskell,,,,,,,
Crazy Salad,Nora Ephron,,,,,,,
Creative Mythology,Joseph Campbell,,,,,,,
Creativity,Mihaly Csikszentmihalyi,,,,,,,
"Creativity, Inc.",Ed Catmull,,,,,,,
Crime and Punishment,Fyodor Dostoevsky,,,,,,,
Critical Path,R. Buckminster Fuller,,,,,,,
Cronopios and Famas,Julio Cortázar,,,,,,,
"Cry, the Beloved Country",Alan Paton,,,,,,,
Cryptonomicon,Neal Stephenson,,,,,,,
Cuckoo’s Egg,Cliff Stoll,,,,,,,
Cultural Amnesia,Clive James,,,,,,,
Cutting Through Spritual Materialism,Chögyam Trungpa,,,,,,,
Cyber Security,Kevin Kali,,,,,,,
Dakota,Kathleen Norris,,,,,,,
Dandelion Wine,Ray Bradbury,,,,,,,
Dangerous Liaisons,Pierre Choderlos de Laclos,,,,,,,
Daring Greatly,Brené Brown,,,,,,,
Dark Alliance,Gary  Webb,,,,,,,
Dark Pools,Scott Patterson,,,,,,,
Darkness at Noon,Arthur Koestler,,,,,,,
Darwin Among the Machines,George Dyson,,,,,,,
Darwin’s Dreampond,Tijs Goldschmidt,,,,,,,
David Copperfield,Charles Dickens,,,,,,,
Dawn of Art,"Jean-Marie Chauvet, Eliette Brunel Deschamps, and Christian Hillaire",,,,,,,
De re militari,Publius Flavius Vegetius Renatus,,,,,,,
Dead Souls,Nikolai Gogol,,,,,,,
Dear Client,Bonnie Siegler,,,,,,,
Dearest Friend,Lynne Withey,,,,,,,
Death Comes for the Archbishop,Willa Cather,,,,,,,
Death of a Salesman,Arthur Miller,,,,,,,
Death of My Aunt,C. H. B. Kitchin,,,,,,,
Democracy in America,Alexis de Tocqueville,,,,,,,
Desert Solitaire,Edward Abbey,,,,,,,
Diary of a Provincial Lady,E. M. Delafield,,,,,,,
Didn’t See That Coming,Rachel Hollis,,,,,,,
Digital Minimalism,Cal Newman,,,,,,,
Dinner at the Homesick Restaurant,Anne Tyler,,,,,,,
Dispatches,Michael Herr,,,,,,,
Doctor Faustus,Thomas Mann,,,,,,,
Doctor Zhivago,Boris Pasternak,,,,,,,
Dombey and Son,Charles Dickens,,,,,,,
Don Quixote,Miguel de Cervantes,,,,,,,
Don't Sweat the Small Stuff ... and It's All Small Stuff,Richard Carlson,,,,,,,
Dr. Johnson and Mr. Savage,Richard Holmes,,,,,,,
Dracula,Bram Stoker,,,,,,,
Dream Pool Essays,Shen Kuo,,,,,,,
Dreams from My Father,Barack Obama,,,,,,,
Dubliners,James Joyce,,,,,,,
Earthly Paradise,Colette,,,,,,,
East of Eden,John Steinbeck,,,,,,,
Eastern Approaches,Fitzroy Maclean,,,,,,,
